date,rank
27-Sep-14,
4-Oct-14,
11-Oct-14,
18-Oct-14,
25-Oct-14,
1-Nov-14,8
8-Nov-14,7
15-Nov-14,8
22-Nov-14,7
29-Nov-14,5
6-Dec-14,4
13-Dec-14,3
20-Dec-14,4
27-Dec-14,3
3-Jan-15,2
10-Jan-15,4
17-Jan-15,5
24-Jan-15,6
31-Jan-15,6
7-Feb-15,7
14-Feb-15,8
21-Feb-15,7
28-Feb-15,7
7-Mar-15,9
14-Mar-15,7
21-Mar-15,8
28-Mar-15,4
4-Apr-15,5
11-Apr-15,7
18-Apr-15,4
25-Apr-15,5
2-May-15,6
9-May-15,6
16-May-15,9
23-May-15,7
30-May-15,5
6-Jun-15,7
13-Jun-15,1
20-Jun-15,2
27-Jun-15,2
4-Jul-15,2
11-Jul-15,2
18-Jul-15,2
25-Jul-15,2
1-Aug-15,2
8-Aug-15,2
15-Aug-15,2
22-Aug-15,1
29-Aug-15,1
5-Sep-15,1
12-Sep-15,1
19-Sep-15,1
26-Sep-15,1
3-Oct-15,1
10-Oct-15,1
17-Oct-15,1
24-Oct-15,1
31-Oct-15,1
7-Nov-15,2
14-Nov-15,2
21-Nov-15,1
28-Nov-15,1
5-Dec-15,1
12-Dec-15,1
19-Dec-15,1
26-Dec-15,1
2-Jan-16,1
9-Jan-16,2
16-Jan-16,2
23-Jan-16,2
30-Jan-16,2
6-Feb-16,4
13-Feb-16,3
20-Feb-16,4
27-Feb-16,5
5-Mar-16,5
12-Mar-16,6
19-Mar-16,5
26-Mar-16,7
2-Apr-16,11
9-Apr-16,13
16-Apr-16,
