date,rank
29-Dec-02,
5-Jan-03,
12-Jan-03,
19-Jan-03,
26-Jan-03,
2-Feb-03,
9-Feb-03,
16-Feb-03,
23-Feb-03,
2-Mar-03,
9-Mar-03,
16-Mar-03,
23-Mar-03,
30-Mar-03,
6-Apr-03,
13-Apr-03,
20-Apr-03,
27-Apr-03,
4-May-03,
11-May-03,
18-May-03,
25-May-03,
1-Jun-03,
8-Jun-03,
15-Jun-03,
22-Jun-03,
29-Jun-03,
6-Jul-03,
13-Jul-03,
20-Jul-03,
27-Jul-03,
3-Aug-03,
10-Aug-03,
17-Aug-03,
24-Aug-03,
31-Aug-03,
7-Sep-03,
14-Sep-03,
21-Sep-03,
28-Sep-03,
5-Oct-03,
12-Oct-03,
19-Oct-03,
26-Oct-03,
2-Nov-03,
9-Nov-03,
16-Nov-03,
23-Nov-03,
30-Nov-03,
7-Dec-03,
14-Dec-03,
21-Dec-03,
28-Dec-03,
4-Jan-04,
11-Jan-04,
18-Jan-04,
25-Jan-04,
1-Feb-04,
8-Feb-04,
15-Feb-04,
22-Feb-04,
29-Feb-04,
7-Mar-04,
14-Mar-04,
21-Mar-04,
28-Mar-04,
4-Apr-04,
11-Apr-04,
18-Apr-04,
25-Apr-04,
2-May-04,
9-May-04,
16-May-04,
23-May-04,
30-May-04,
6-Jun-04,
13-Jun-04,
20-Jun-04,
27-Jun-04,
4-Jul-04,
11-Jul-04,
18-Jul-04,
25-Jul-04,
1-Aug-04,
8-Aug-04,
15-Aug-04,
22-Aug-04,
29-Aug-04,
5-Sep-04,
12-Sep-04,
19-Sep-04,
26-Sep-04,
3-Oct-04,
10-Oct-04,
17-Oct-04,
24-Oct-04,
31-Oct-04,
7-Nov-04,
14-Nov-04,
21-Nov-04,
28-Nov-04,
5-Dec-04,
12-Dec-04,
19-Dec-04,
26-Dec-04,
2-Jan-05,
9-Jan-05,
16-Jan-05,
23-Jan-05,
30-Jan-05,
6-Feb-05,
13-Feb-05,
20-Feb-05,
27-Feb-05,
6-Mar-05,
13-Mar-05,
20-Mar-05,
27-Mar-05,
3-Apr-05,
10-Apr-05,
17-Apr-05,
24-Apr-05,
1-May-05,
8-May-05,
15-May-05,
22-May-05,
29-May-05,
5-Jun-05,
12-Jun-05,
19-Jun-05,
26-Jun-05,
3-Jul-05,
10-Jul-05,
17-Jul-05,
24-Jul-05,
31-Jul-05,
7-Aug-05,
14-Aug-05,
21-Aug-05,
28-Aug-05,
4-Sep-05,
11-Sep-05,
18-Sep-05,
25-Sep-05,
2-Oct-05,
9-Oct-05,
16-Oct-05,
23-Oct-05,
30-Oct-05,
6-Nov-05,
13-Nov-05,
20-Nov-05,
27-Nov-05,
4-Dec-05,
11-Dec-05,
18-Dec-05,
25-Dec-05,
1-Jan-06,
8-Jan-06,
15-Jan-06,
22-Jan-06,
29-Jan-06,
5-Feb-06,
12-Feb-06,
19-Feb-06,
26-Feb-06,
5-Mar-06,
12-Mar-06,
19-Mar-06,
26-Mar-06,
2-Apr-06,
9-Apr-06,
16-Apr-06,
23-Apr-06,
30-Apr-06,
7-May-06,
14-May-06,
21-May-06,
28-May-06,
4-Jun-06,
11-Jun-06,
18-Jun-06,
25-Jun-06,
2-Jul-06,
9-Jul-06,
16-Jul-06,
23-Jul-06,
30-Jul-06,
6-Aug-06,
13-Aug-06,
20-Aug-06,
27-Aug-06,
3-Sep-06,
10-Sep-06,
17-Sep-06,
24-Sep-06,
1-Oct-06,
8-Oct-06,
15-Oct-06,
22-Oct-06,
29-Oct-06,
5-Nov-06,
12-Nov-06,
19-Nov-06,
26-Nov-06,
3-Dec-06,
10-Dec-06,
17-Dec-06,
24-Dec-06,
31-Dec-06,
7-Jan-07,
14-Jan-07,
21-Jan-07,
28-Jan-07,
4-Feb-07,
11-Feb-07,
18-Feb-07,
25-Feb-07,
4-Mar-07,
11-Mar-07,
18-Mar-07,
25-Mar-07,
1-Apr-07,
8-Apr-07,
15-Apr-07,
22-Apr-07,
29-Apr-07,
6-May-07,
13-May-07,
20-May-07,
27-May-07,
3-Jun-07,
10-Jun-07,
17-Jun-07,
24-Jun-07,
1-Jul-07,
8-Jul-07,
15-Jul-07,
22-Jul-07,
29-Jul-07,
5-Aug-07,
12-Aug-07,
19-Aug-07,
26-Aug-07,
2-Sep-07,
9-Sep-07,
16-Sep-07,
23-Sep-07,
30-Sep-07,
7-Oct-07,
14-Oct-07,
21-Oct-07,
28-Oct-07,
4-Nov-07,
11-Nov-07,
18-Nov-07,
25-Nov-07,
2-Dec-07,
9-Dec-07,
16-Dec-07,
23-Dec-07,
30-Dec-07,
6-Jan-08,
13-Jan-08,
20-Jan-08,
27-Jan-08,
3-Feb-08,
10-Feb-08,
17-Feb-08,
24-Feb-08,
2-Mar-08,
9-Mar-08,
16-Mar-08,
23-Mar-08,
30-Mar-08,
6-Apr-08,
13-Apr-08,
20-Apr-08,
27-Apr-08,
4-May-08,
11-May-08,
18-May-08,
25-May-08,
1-Jun-08,
8-Jun-08,
15-Jun-08,
22-Jun-08,
29-Jun-08,
6-Jul-08,
13-Jul-08,
20-Jul-08,
27-Jul-08,
3-Aug-08,
10-Aug-08,
17-Aug-08,
24-Aug-08,
31-Aug-08,
7-Sep-08,
14-Sep-08,
21-Sep-08,
28-Sep-08,
5-Oct-08,
12-Oct-08,
19-Oct-08,
26-Oct-08,
2-Nov-08,
9-Nov-08,
16-Nov-08,
23-Nov-08,
30-Nov-08,
7-Dec-08,
14-Dec-08,
21-Dec-08,
28-Dec-08,
4-Jan-09,
11-Jan-09,
18-Jan-09,
25-Jan-09,
1-Feb-09,
8-Feb-09,
15-Feb-09,
22-Feb-09,
1-Mar-09,
8-Mar-09,
15-Mar-09,
22-Mar-09,
29-Mar-09,
5-Apr-09,
12-Apr-09,
19-Apr-09,
26-Apr-09,
3-May-09,
10-May-09,
17-May-09,
24-May-09,
31-May-09,
7-Jun-09,
14-Jun-09,
21-Jun-09,
28-Jun-09,
5-Jul-09,
12-Jul-09,
19-Jul-09,
26-Jul-09,
2-Aug-09,
9-Aug-09,
16-Aug-09,
23-Aug-09,
30-Aug-09,
6-Sep-09,
13-Sep-09,
20-Sep-09,
27-Sep-09,
4-Oct-09,
11-Oct-09,
18-Oct-09,
25-Oct-09,
1-Nov-09,
8-Nov-09,
15-Nov-09,
22-Nov-09,
29-Nov-09,
6-Dec-09,
13-Dec-09,
20-Dec-09,
27-Dec-09,
3-Jan-10,
10-Jan-10,
17-Jan-10,
24-Jan-10,
31-Jan-10,
7-Feb-10,
14-Feb-10,
21-Feb-10,
28-Feb-10,
7-Mar-10,
14-Mar-10,10
21-Mar-10,8
28-Mar-10,8
4-Apr-10,6
11-Apr-10,6
18-Apr-10,5
25-Apr-10,5
2-May-10,7
9-May-10,6
16-May-10,6
23-May-10,10
30-May-10,9
6-Jun-10,10
13-Jun-10,
20-Jun-10,
27-Jun-10,
4-Jul-10,
11-Jul-10,
18-Jul-10,
25-Jul-10,
