date,rank
20-Apr-13,1
27-Apr-13,1
4-May-13,1
11-May-13,1
18-May-13,1
25-May-13,1
1-Jun-13,1
8-Jun-13,2
15-Jun-13,1
22-Jun-13,1
29-Jun-13,2
6-Jul-13,2
13-Jul-13,2
20-Jul-13,2
27-Jul-13,2
3-Aug-13,2
10-Aug-13,3
17-Aug-13,3
24-Aug-13,3
31-Aug-13,3
7-Sep-13,2
14-Sep-13,2
21-Sep-13,3
28-Sep-13,2
5-Oct-13,2
12-Oct-13,3
19-Oct-13,3
26-Oct-13,4
2-Nov-13,3
9-Nov-13,4
16-Nov-13,3
23-Nov-13,3
30-Nov-13,2
7-Dec-13,3
14-Dec-13,3
21-Dec-13,3
28-Dec-13,3
4-Jan-14,2
11-Jan-14,2
18-Jan-14,2
25-Jan-14,2
1-Feb-14,2
8-Feb-14,4
15-Feb-14,4
22-Feb-14,5
1-Mar-14,2
8-Mar-14,2
15-Mar-14,2
22-Mar-14,3
29-Mar-14,3
5-Apr-14,3
12-Apr-14,3
19-Apr-14,4
26-Apr-14,5
3-May-14,4
10-May-14,6
17-May-14,5
24-May-14,6
31-May-14,7
7-Jun-14,10
14-Jun-14,8
21-Jun-14,9
28-Jun-14,9
5-Jul-14,
12-Jul-14,
19-Jul-14,9
26-Jul-14,10
2-Aug-14,5
9-Aug-14,9
16-Aug-14,9
23-Aug-14,9
30-Aug-14,
6-Sep-14,
13-Sep-14,
20-Sep-14,10
27-Sep-14,
4-Oct-14,
11-Oct-14,8
18-Oct-14,
25-Oct-14,
1-Nov-14,10
8-Nov-14,8
15-Nov-14,8
22-Nov-14,6
29-Nov-14,5
6-Dec-14,6
13-Dec-14,6
20-Dec-14,6
27-Dec-14,6
3-Jan-15,6
10-Jan-15,5
17-Jan-15,7
24-Jan-15,
31-Jan-15,
7-Feb-15,
14-Feb-15,
21-Feb-15,
28-Feb-15,
7-Mar-15,
14-Mar-15,7
21-Mar-15,8
28-Mar-15,9
4-Apr-15,
11-Apr-15,
18-Apr-15,
25-Apr-15,
2-May-15,
9-May-15,
16-May-15,
23-May-15,
30-May-15,
6-Jun-15,
13-Jun-15,
20-Jun-15,
27-Jun-15,
4-Jul-15,
11-Jul-15,
18-Jul-15,
25-Jul-15,
1-Aug-15,
8-Aug-15,
15-Aug-15,
22-Aug-15,
29-Aug-15,
5-Sep-15,
12-Sep-15,
19-Sep-15,
26-Sep-15,
3-Oct-15,
10-Oct-15,
17-Oct-15,
24-Oct-15,
31-Oct-15,
7-Nov-15,
14-Nov-15,
21-Nov-15,
28-Nov-15,9
5-Dec-15,9
