,0
0,Daily Gross
1,"$240,211"
2,"$199,481"
3,"$215,858"
4,"$218,117"
5,"$166,444"
6,"$164,201"
7,"$124,987"
8,Daily Gross
9,"$223,080"
10,"$233,719"
11,"$238,862"
12,"$204,328"
13,"$100,505"
14,"$89,058"
15,"$93,332"
16,"$82,968"
17,"$156,360"
18,"$234,210"
19,"$188,948"
20,"$60,183"
21,"$68,600"
22,"$69,270"
23,"$52,056"
24,"$30,338,488"
25,"$34,547,284"
26,"$24,383,294"
27,"$17,942,391"
28,"$9,924,117"
29,"$7,555,269"
30,"$7,656,492"
31,"$18,213,554"
32,"$28,635,135"
33,"$17,779,615"
34,"$4,183,367"
35,"$5,017,038"
36,"$3,823,135"
37,"$3,668,056"
38,"$9,905,616"
39,"$16,510,536"
40,"$4,244,376"
41,"$2,645,109"
42,"$2,923,141"
43,"$2,273,342"
44,"$2,506,106"
45,"$6,163,365"
46,"$11,032,447"
47,"$6,093,301"
48,"$1,590,242"
49,"$1,773,361"
50,"$1,468,160"
51,"$1,477,178"
52,"$3,745,563"
53,"$7,824,072"
54,"$4,845,170"
55,"$2,365,038"
56,"$1,284,385"
57,"$1,037,497"
58,"$1,157,160"
59,"$2,718,122"
60,"$4,595,743"
61,"$2,738,582"
62,"$836,221"
63,"$948,496"
64,"$792,101"
65,"$822,004"
66,"$1,903,469"
67,"$3,601,727"
68,"$1,889,097"
69,"$502,179"
70,"$507,318"
71,"$429,402"
72,"$457,340"
73,"$1,146,840"
74,"$2,158,539"
75,"$1,096,012"
76,"$342,258"
77,"$409,581"
78,"$363,324"
79,"$354,030"
80,"$755,768"
81,"$1,382,406"
82,"$673,168"
83,"$232,068"
84,"$255,383"
85,"$256,310"
86,"$236,086"
87,"$432,738"
88,"$785,413"
89,"$390,100"
90,"$152,393"
91,"$155,245"
92,"$137,446"
93,"$126,147"
94,"$246,937"
95,"$423,874"
96,"$203,242"
97,"$81,213"
98,"$91,324"
99,Daily Gross
100,Daily Gross
101,"$83,249"
102,"$88,355"
103,"$230,878"
104,"$261,490"
105,"$135,692"
106,"$55,473"
107,"$61,575"
108,"$55,517"
109,"$57,183"
110,"$180,278"
111,"$302,268"
112,"$112,495"
113,"$40,555"
114,"$48,387"
115,"$44,459"
116,"$38,505"
117,"$104,872"
118,"$185,191"
119,"$89,655"
120,"$37,173"
121,"$42,393"
122,"$37,243"
123,"$40,967"
124,"$96,576"
125,"$187,408"
126,"$90,615"
127,"$31,715"
128,"$34,857"
129,"$29,628"
130,"$26,072"
131,Daily Gross
132,"$123,899"
133,"$171,757"
134,"$148,259"
135,"$45,960"
136,"$50,556"
137,"$39,939"
138,"$35,947"
139,"$86,330"
140,"$119,155"
141,"$85,256"
142,"$34,102"
143,"$37,513"
144,"$28,134"
145,"$27,572"
146,"$54,584"
147,"$88,711"
148,"$45,686"
149,"$15,890"
150,"$17,002"
151,"$16,151"
152,"$19,120"
153,"$43,350"
154,"$69,227"
155,"$72,440"
156,"$42,529"
157,"$13,184"
158,"$10,942"
159,"$12,364"
160,"$19,029"
161,"$28,047"
162,"$20,327"
163,Daily Gross
164,"$6,327"
165,"$7,076"
166,"$6,651"
167,"$6,317"
168,"$6,531"
169,"$10,859"
170,"$5,757"
171,"$2,497"
172,"$2,521"
173,"$2,651"
174,"$2,846"
175,"$3,128"
176,"$5,228"
177,"$3,292"
178,"$1,362"
179,"$1,536"
180,"$1,902"
181,"$1,910"
182,"$1,123"
183,"$1,814"
184,"$1,714"
185,$607
186,$789
187,$707
188,$789
