,0
0,Daily Gross
1,"$91,071,119"
2,"$42,414,346"
3,"$35,703,962"
4,"$18,043,081"
5,"$15,388,166"
6,"$12,267,217"
7,"$11,229,178"
8,"$14,554,115"
9,"$18,263,532"
10,"$14,604,565"
11,"$6,477,328"
12,"$6,479,276"
13,"$5,166,469"
14,"$4,872,155"
15,"$6,557,953"
16,"$8,457,011"
17,"$6,962,129"
18,Daily Gross
19,"$3,328,240"
20,"$3,299,364"
21,"$2,886,480"
22,"$2,615,328"
23,"$3,374,111"
24,"$4,834,999"
25,"$4,235,921"
26,"$1,804,337"
27,"$2,011,238"
28,"$1,662,317"
29,"$1,522,004"
30,"$1,860,231"
31,"$2,761,878"
32,"$2,629,305"
33,"$1,158,055"
34,"$1,142,368"
35,"$927,487"
36,"$931,224"
37,"$1,186,340"
38,"$1,777,484"
39,"$1,547,587"
40,"$594,218"
41,"$601,241"
42,"$508,281"
43,"$529,052"
44,"$688,882"
45,"$1,029,439"
46,"$846,049"
47,"$358,175"
48,"$372,195"
49,"$309,457"
50,Daily Gross
51,"$306,094"
52,"$559,787"
53,"$904,246"
54,"$1,008,568"
55,"$928,509"
56,"$203,305"
57,"$179,469"
58,"$168,234"
59,"$264,292"
60,"$449,807"
61,"$287,484"
62,"$86,245"
63,"$99,182"
64,"$92,239"
65,"$97,773"
66,"$180,393"
67,"$314,228"
68,"$205,877"
69,"$59,705"
70,"$64,681"
71,"$61,047"
72,"$70,814"
73,"$96,808"
74,"$175,367"
75,"$115,273"
76,"$34,582"
77,"$36,011"
78,"$35,851"
79,"$41,587"
80,"$69,432"
81,Daily Gross
82,"$125,405"
83,"$78,426"
84,"$23,144"
85,"$24,831"
86,"$24,335"
87,"$26,966"
88,"$112,169"
89,"$169,473"
90,"$124,219"
91,"$65,563"
92,"$46,550"
93,"$40,499"
94,"$47,493"
95,"$81,761"
96,"$122,797"
97,"$79,990"
98,"$24,797"
99,"$28,661"
100,"$27,801"
101,"$33,978"
102,"$55,204"
103,"$78,225"
104,"$47,361"
105,"$14,977"
106,"$16,074"
107,"$15,753"
108,"$18,323"
109,"$30,342"
110,"$49,253"
111,"$31,555"
112,"$10,118"
113,Daily Gross
114,"$10,828"
115,"$11,020"
116,"$13,595"
117,"$22,064"
118,"$63,874"
119,"$33,817"
120,"$6,022"
121,"$6,686"
122,"$6,418"
123,"$9,675"
124,"$17,583"
125,"$20,337"
126,"$15,878"
127,"$5,288"
128,"$5,393"
129,"$5,555"
130,"$2,907"
131,"$7,653"
132,"$10,337"
133,"$7,433"
134,"$3,293"
135,"$4,044"
136,"$2,003"
137,"$1,694"
