,0
0,Daily Gross
1,"$12,111,766"
2,"$17,519,363"
3,"$14,101,190"
4,"$4,814,037"
5,"$4,803,028"
6,"$4,534,374"
7,Daily Gross
8,"$5,242,114"
9,"$11,028,592"
10,"$11,084,274"
11,"$6,897,178"
12,"$5,286,039"
13,"$3,827,722"
14,"$3,485,110"
15,"$3,806,116"
16,"$7,134,315"
17,"$10,523,320"
18,"$7,205,900"
19,"$1,383,418"
20,"$1,388,913"
21,"$1,176,225"
22,"$1,264,752"
23,"$4,404,260"
24,"$9,111,273"
25,"$6,117,787"
26,"$1,206,268"
27,"$1,207,230"
28,"$1,107,422"
29,"$1,223,728"
30,"$3,540,491"
31,"$6,775,807"
32,"$5,033,915"
33,"$844,721"
34,"$860,937"
35,"$737,763"
36,"$770,113"
37,"$2,536,353"
38,Daily Gross
39,"$4,814,495"
40,"$3,263,441"
41,"$605,277"
42,"$582,686"
43,"$494,515"
44,"$477,265"
45,"$1,538,905"
46,"$2,849,450"
47,"$2,292,019"
48,"$382,066"
49,"$435,246"
50,"$410,312"
51,"$402,669"
52,"$1,232,514"
53,"$2,377,660"
54,"$1,393,362"
55,"$352,917"
56,"$397,171"
57,"$336,558"
58,"$355,365"
59,"$477,210"
60,"$859,532"
61,"$564,469"
62,"$190,992"
63,"$145,658"
64,"$143,387"
65,"$133,264"
66,"$285,681"
67,"$460,913"
68,"$404,240"
69,"$362,843"
70,Daily Gross
71,"$90,887"
72,"$87,496"
73,"$98,581"
74,"$135,097"
75,"$205,876"
76,"$147,310"
77,"$44,274"
78,"$56,136"
79,"$59,439"
80,"$52,930"
81,"$96,828"
82,"$143,868"
83,"$89,763"
84,"$41,135"
85,"$44,213"
86,"$43,477"
87,"$42,009"
88,"$50,566"
89,"$63,286"
90,"$53,231"
91,"$27,825"
92,"$34,432"
93,"$62,752"
94,"$55,722"
95,"$149,137"
96,"$186,160"
97,"$142,202"
98,"$89,135"
99,"$111,068"
100,"$92,083"
101,Daily Gross
102,"$100,420"
103,"$129,383"
104,"$130,550"
105,"$81,827"
106,"$139,745"
107,"$90,551"
108,"$88,735"
109,"$100,019"
110,"$108,458"
111,"$126,526"
112,"$82,939"
113,"$55,886"
114,"$73,065"
115,"$61,617"
116,"$66,070"
117,"$75,190"
118,"$96,051"
119,"$66,151"
120,"$43,255"
121,"$52,961"
122,"$46,789"
123,"$50,229"
