,0
0,Daily Gross
1,"$55,139,942"
2,"$40,905,873"
3,"$25,851,819"
4,"$8,978,318"
5,"$12,131,853"
6,"$14,620,517"
7,"$11,079,983"
8,"$24,199,442"
9,"$21,992,225"
10,"$10,780,932"
11,Daily Gross
12,"$2,635,435"
13,"$3,160,145"
14,"$2,332,453"
15,"$2,317,894"
16,"$6,662,680"
17,"$9,914,689"
18,"$5,449,393"
19,"$1,437,896"
20,"$1,785,778"
21,"$1,389,399"
22,"$1,431,583"
23,"$3,742,859"
24,"$5,728,430"
25,"$3,215,453"
26,"$1,111,833"
27,"$1,371,154"
28,"$1,021,818"
29,"$1,086,893"
30,"$2,275,909"
31,"$3,145,149"
32,"$2,458,363"
33,"$1,716,284"
34,"$1,910,174"
35,"$987,657"
36,"$2,685,756"
37,"$3,526,032"
38,"$3,664,524"
39,"$2,872,869"
40,"$2,220,422"
41,"$2,389,225"
42,"$1,953,861"
43,Daily Gross
44,"$2,891,634"
45,"$2,985,625"
46,"$2,894,119"
47,"$1,680,210"
48,"$566,745"
49,"$574,943"
50,"$471,526"
51,"$426,837"
52,"$1,059,634"
53,"$1,786,532"
54,"$919,727"
55,"$252,729"
56,"$343,342"
57,"$280,348"
58,"$226,774"
59,"$484,926"
60,"$845,214"
61,"$542,662"
62,"$414,495"
63,"$143,295"
64,"$106,407"
65,"$104,807"
66,"$266,494"
67,"$515,221"
68,"$258,639"
69,"$60,578"
70,"$74,249"
71,"$61,561"
72,"$55,485"
73,"$169,617"
74,"$295,519"
75,"$85,117"
76,"$43,071"
77,"$47,925"
78,"$39,493"
79,"$35,560"
80,"$106,605"
81,"$200,965"
82,"$103,361"
83,"$30,872"
84,"$32,323"
85,"$28,345"
86,"$28,633"
87,"$65,188"
88,"$152,740"
89,"$85,037"
90,"$59,616"
91,"$21,141"
92,"$19,843"
93,"$19,470"
94,"$48,397"
95,"$72,751"
96,"$41,115"
97,"$13,000"
98,"$14,744"
99,"$12,232"
100,"$13,648"
101,"$62,159"
102,"$118,980"
103,"$72,153"
104,"$19,634"
105,"$21,347"
106,"$17,169"
107,"$21,213"
108,"$47,455"
109,"$77,420"
110,"$40,805"
111,"$13,975"
112,"$15,975"
113,"$12,838"
114,"$13,432"
115,"$25,403"
116,"$39,374"
117,"$20,541"
118,"$7,173"
119,"$8,421"
120,"$7,711"
121,"$8,707"
