,0
0,Daily Gross
1,"$67,263,650"
2,"$50,394,419"
3,"$34,877,678"
4,"$10,823,788"
5,"$10,348,198"
6,"$8,051,705"
7,"$8,173,400"
8,"$18,652,560"
9,"$24,738,873"
10,"$15,159,630"
11,"$4,522,495"
12,"$5,324,246"
13,"$4,608,765"
14,"$6,399,758"
15,"$12,799,832"
16,"$13,017,393"
17,"$7,294,332"
18,"$4,143,217"
19,"$3,293,283"
20,"$2,850,685"
21,"$2,831,632"
22,"$6,403,525"
23,"$9,317,258"
24,"$5,376,041"
25,"$1,396,955"
26,"$1,565,935"
27,"$1,332,029"
28,"$1,439,178"
29,"$4,014,232"
30,"$6,500,068"
31,"$4,151,707"
32,"$1,009,203"
33,"$1,143,349"
34,"$944,136"
35,"$1,041,595"
36,"$2,992,968"
37,"$4,967,274"
38,"$2,854,029"
39,"$721,922"
40,Daily Gross
41,Daily Gross
42,"$864,196"
43,"$712,316"
44,"$709,543"
45,"$1,630,046"
46,"$2,426,877"
47,"$1,530,738"
48,"$424,660"
49,"$535,331"
50,"$461,344"
51,"$465,692"
52,"$1,187,702"
53,"$1,856,045"
54,"$1,461,615"
55,"$398,480"
56,"$464,758"
57,"$376,509"
58,"$384,315"
59,"$824,397"
60,"$1,270,649"
61,"$855,285"
62,"$353,004"
63,"$346,088"
64,"$328,957"
65,"$399,295"
66,"$600,241"
67,"$881,691"
68,"$829,474"
69,"$701,977"
70,"$248,993"
71,"$235,064"
72,"$267,523"
73,Daily Gross
74,"$454,882"
75,"$677,405"
76,"$434,899"
77,"$208,749"
78,"$219,296"
79,"$205,657"
80,"$225,686"
81,"$318,939"
82,"$431,013"
83,"$322,261"
84,"$157,003"
85,"$171,583"
86,"$156,889"
87,"$155,610"
88,"$247,895"
89,"$338,002"
90,"$266,935"
91,"$137,261"
92,"$146,913"
93,"$142,590"
94,"$146,506"
95,"$184,449"
96,"$255,614"
97,"$184,755"
98,"$97,158"
99,"$107,237"
100,"$97,775"
101,"$104,997"
102,"$113,986"
103,"$158,156"
104,"$125,003"
105,"$75,216"
106,"$69,598"
107,"$81,411"
108,"$71,577"
109,"$98,169"
110,"$129,060"
111,"$88,250"
112,"$46,786"
113,"$52,487"
114,"$51,441"
115,"$52,049"
116,"$81,315"
117,"$116,152"
118,"$82,288"
119,"$42,133"
120,"$47,929"
121,"$45,630"
122,"$45,131"
123,"$55,696"
124,"$72,444"
125,"$54,097"
126,"$31,550"
127,"$36,176"
128,"$33,228"
129,"$34,718"
130,"$152,478"
131,"$203,719"
132,"$162,743"
133,"$92,672"
134,"$104,042"
135,Daily Gross
136,Daily Gross
137,"$93,818"
138,"$95,003"
139,"$129,247"
140,"$172,607"
141,"$127,512"
142,"$66,226"
143,"$69,578"
144,"$67,749"
145,"$69,458"
146,"$99,602"
147,"$133,047"
148,"$91,408"
149,"$46,615"
150,"$51,293"
151,"$44,602"
152,"$46,455"
153,"$66,510"
154,"$84,031"
155,"$54,414"
156,"$20,673"
157,"$21,632"
158,"$19,267"
159,"$19,376"
160,"$32,923"
161,"$50,553"
162,"$31,375"
163,"$10,013"
164,"$10,430"
165,"$9,197"
166,"$9,658"
167,"$13,158"
168,Daily Gross
169,"$24,977"
170,"$20,208"
171,"$17,603"
172,"$4,239"
173,"$3,428"
174,"$3,770"
