,0
0,Daily Gross
1,"$50,425,786"
2,"$44,986,221"
3,"$27,991,412"
4,"$8,761,479"
5,"$11,435,492"
6,"$7,907,855"
7,"$7,202,374"
8,"$19,162,071"
9,"$25,835,611"
10,"$15,105,428"
11,"$4,208,189"
12,"$5,361,721"
13,"$4,022,988"
14,"$3,932,254"
15,"$9,098,118"
16,"$13,395,457"
17,"$7,263,919"
18,"$1,915,789"
19,"$2,431,782"
20,"$1,770,420"
21,"$1,658,424"
22,"$4,959,012"
23,"$7,811,673"
24,"$4,131,757"
25,"$1,092,294"
26,"$1,382,584"
27,"$1,025,111"
28,"$1,003,257"
29,"$2,703,010"
30,"$4,302,358"
31,"$2,966,634"
32,"$1,430,288"
33,"$881,594"
34,"$681,777"
35,"$635,382"
36,"$1,960,592"
37,"$2,633,019"
38,"$1,462,022"
39,"$472,220"
40,"$509,048"
41,"$400,690"
42,"$417,504"
43,"$1,002,341"
44,"$1,610,554"
45,"$838,768"
46,"$293,868"
47,"$344,482"
48,"$276,823"
49,"$263,750"
50,"$693,144"
51,"$1,142,463"
52,"$667,731"
53,"$252,119"
54,"$471,446"
55,Daily Gross
56,Daily Gross
57,"$161,121"
58,"$125,208"
59,"$275,314"
60,"$475,891"
61,"$250,083"
62,"$80,551"
63,"$86,693"
64,"$71,360"
65,"$66,508"
66,"$139,052"
67,"$197,413"
68,"$106,884"
69,"$34,207"
70,"$33,411"
71,"$32,074"
72,"$20,376"
73,"$39,044"
74,"$68,828"
75,"$42,235"
76,"$22,573"
77,"$21,871"
78,"$32,506"
79,"$24,730"
80,"$68,355"
81,"$76,229"
82,"$41,557"
83,"$12,598"
84,"$12,523"
85,"$11,881"
86,"$12,731"
87,Daily Gross
88,"$29,664"
89,"$50,224"
90,"$30,613"
91,"$8,401"
92,"$9,432"
93,"$8,809"
94,"$9,107"
95,"$18,676"
96,"$34,489"
97,"$20,140"
98,"$6,247"
99,"$7,124"
100,"$6,528"
101,"$6,382"
