,0
0,Daily Gross
1,"$18,145,681"
2,"$22,251,765"
3,"$13,911,129"
4,"$4,401,171"
5,"$5,457,240"
6,"$3,741,530"
7,"$3,801,813"
8,"$10,729,571"
9,"$15,877,535"
10,"$10,398,160"
11,"$4,900,783"
12,"$3,454,333"
13,"$2,634,337"
14,"$2,590,610"
15,"$6,277,423"
16,"$9,456,390"
17,"$5,566,307"
18,"$1,594,290"
19,"$2,100,170"
20,"$1,575,030"
21,"$1,589,880"
22,"$4,353,926"
23,"$7,265,327"
24,"$4,113,654"
25,"$1,215,127"
26,"$1,574,997"
27,"$1,251,481"
28,"$1,177,093"
29,"$3,475,095"
30,"$4,564,809"
31,"$3,675,193"
32,"$1,151,099"
33,"$1,472,489"
34,"$1,066,793"
35,"$955,115"
36,"$2,587,558"
37,"$4,290,010"
38,"$2,196,751"
39,"$616,711"
40,"$1,049,140"
41,"$1,501,925"
42,"$673,175"
43,"$1,928,448"
44,"$3,193,837"
45,"$1,589,886"
46,"$455,828"
47,"$604,624"
48,"$467,098"
49,"$417,105"
50,"$1,016,327"
51,"$1,745,675"
52,"$1,035,768"
53,"$443,363"
54,"$510,274"
55,"$603,663"
56,"$621,336"
57,"$1,341,979"
58,"$1,310,403"
59,"$568,684"
60,"$163,937"
61,Daily Gross
62,Daily Gross
63,"$189,027"
64,"$157,184"
65,"$151,126"
66,"$451,903"
67,"$769,471"
68,"$384,986"
69,"$132,310"
70,"$173,447"
71,"$146,274"
72,"$143,456"
73,"$397,265"
74,"$676,358"
75,"$383,737"
76,"$148,620"
77,"$175,666"
78,"$158,991"
79,"$88,751"
80,"$113,611"
81,"$194,111"
82,"$142,288"
83,"$124,099"
84,"$144,466"
85,"$123,735"
86,"$94,342"
87,"$128,028"
88,"$204,100"
89,"$155,316"
90,"$116,352"
91,"$129,363"
92,"$131,168"
93,"$114,951"
94,Daily Gross
95,"$221,555"
96,"$232,840"
97,"$111,009"
98,"$49,088"
99,"$53,258"
100,"$47,505"
101,"$50,414"
102,"$108,274"
103,"$175,954"
104,"$91,685"
105,"$40,423"
106,"$52,024"
107,"$42,315"
108,"$51,343"
109,"$130,359"
110,"$186,884"
111,"$135,829"
112,"$102,673"
113,"$39,170"
114,"$32,974"
115,"$34,485"
116,"$77,120"
117,"$144,766"
118,"$59,281"
119,"$23,847"
120,"$30,270"
121,"$27,845"
122,"$28,163"
123,"$56,134"
124,"$96,984"
125,"$58,817"
126,Daily Gross
127,"$16,353"
128,"$18,074"
129,"$16,695"
130,"$16,576"
131,"$33,768"
132,"$61,993"
133,"$17,956"
134,"$10,642"
135,"$13,223"
136,"$10,292"
137,"$13,188"
138,"$17,259"
139,"$33,190"
140,"$34,718"
141,"$15,573"
142,"$7,616"
143,"$6,995"
144,"$6,676"
145,"$9,157"
146,"$26,481"
147,"$9,588"
148,"$2,635"
149,"$5,196"
150,"$3,643"
151,"$3,305"
152,"$6,244"
153,"$17,685"
154,"$6,753"
155,"$3,340"
156,Daily Gross
157,"$4,037"
158,"$4,478"
159,"$3,977"
