,0
0,Daily Gross
1,"$71,642,526"
2,"$40,029,203"
3,"$26,450,532"
4,"$9,853,481"
5,"$11,002,420"
6,"$12,437,564"
7,"$7,732,709"
8,"$16,689,211"
9,"$16,363,978"
10,"$8,630,385"
11,"$2,525,769"
12,"$2,642,924"
13,"$2,151,124"
14,Daily Gross
15,"$2,239,118"
16,"$5,452,139"
17,"$7,080,431"
18,"$4,002,895"
19,"$1,147,289"
20,"$1,315,111"
21,"$1,069,091"
22,"$1,125,367"
23,"$2,456,195"
24,"$3,398,193"
25,"$1,965,014"
26,"$649,222"
27,"$748,250"
28,"$651,265"
29,"$678,675"
30,"$1,278,315"
31,"$1,714,274"
32,"$1,205,304"
33,"$651,427"
34,"$697,955"
35,"$515,186"
36,"$609,359"
37,"$671,876"
38,"$282,370"
39,"$512,060"
40,"$914,635"
41,"$771,203"
42,"$753,282"
43,"$762,469"
44,"$866,680"
45,"$505,478"
46,"$688,784"
47,"$594,738"
48,"$299,396"
49,"$250,362"
50,"$268,404"
51,"$437,622"
52,"$665,577"
53,"$368,896"
54,"$108,121"
55,"$125,923"
56,"$112,652"
57,"$107,256"
58,"$201,910"
59,"$328,064"
60,"$239,340"
61,"$156,164"
62,"$51,589"
63,"$50,512"
64,"$56,475"
65,"$83,654"
66,"$148,794"
67,"$76,270"
68,"$25,981"
69,"$26,823"
70,"$27,293"
71,"$28,870"
72,"$46,488"
73,"$75,748"
74,"$42,475"
75,"$13,580"
76,"$15,619"
77,Daily Gross
78,Daily Gross
79,"$14,808"
80,"$16,568"
81,"$83,714"
82,"$137,341"
83,"$58,700"
84,"$27,234"
85,"$31,367"
86,"$26,476"
87,"$28,347"
88,"$52,820"
89,"$74,489"
90,"$40,974"
91,"$11,958"
92,"$20,578"
93,"$10,285"
94,"$12,352"
95,"$15,116"
96,"$22,896"
97,"$16,306"
98,"$8,328"
99,"$3,977"
100,"$3,252"
101,"$3,913"
