date,rank
7-Jan-12,
14-Jan-12,
21-Jan-12,
28-Jan-12,
4-Feb-12,
11-Feb-12,
18-Feb-12,
25-Feb-12,
3-Mar-12,
10-Mar-12,
17-Mar-12,
24-Mar-12,
31-Mar-12,
7-Apr-12,
14-Apr-12,
21-Apr-12,
28-Apr-12,
5-May-12,
12-May-12,
19-May-12,
26-May-12,
2-Jun-12,
9-Jun-12,
16-Jun-12,
23-Jun-12,
30-Jun-12,
7-Jul-12,
14-Jul-12,
21-Jul-12,
28-Jul-12,
4-Aug-12,
11-Aug-12,
18-Aug-12,
25-Aug-12,
1-Sep-12,
8-Sep-12,
15-Sep-12,
22-Sep-12,
29-Sep-12,
6-Oct-12,
13-Oct-12,
20-Oct-12,
27-Oct-12,
3-Nov-12,
10-Nov-12,
17-Nov-12,
24-Nov-12,
1-Dec-12,
8-Dec-12,
15-Dec-12,
22-Dec-12,
29-Dec-12,
5-Jan-13,
12-Jan-13,
19-Jan-13,
26-Jan-13,
2-Feb-13,3
9-Feb-13,1
16-Feb-13,1
23-Feb-13,2
2-Mar-13,3
9-Mar-13,2
16-Mar-13,3
23-Mar-13,3
30-Mar-13,4
6-Apr-13,5
13-Apr-13,5
20-Apr-13,4
27-Apr-13,5
4-May-13,5
11-May-13,5
18-May-13,4
25-May-13,5
1-Jun-13,5
8-Jun-13,3
15-Jun-13,3
22-Jun-13,7
29-Jun-13,7
6-Jul-13,9
13-Jul-13,7
20-Jul-13,9
27-Jul-13,7
3-Aug-13,8
10-Aug-13,10
17-Aug-13,12
24-Aug-13,
31-Aug-13,
7-Sep-13,
14-Sep-13,
21-Sep-13,
28-Sep-13,
5-Oct-13,
12-Oct-13,
19-Oct-13,12
26-Oct-13,19
2-Nov-13,
9-Nov-13,
16-Nov-13,16
23-Nov-13,16
30-Nov-13,10
7-Dec-13,15
14-Dec-13,15
21-Dec-13,13
28-Dec-13,13
4-Jan-14,16
11-Jan-14,16
18-Jan-14,13
25-Jan-14,12
1-Feb-14,18
8-Feb-14,11
15-Feb-14,11
22-Feb-14,12
1-Mar-14,19
8-Mar-14,
15-Mar-14,
22-Mar-14,
29-Mar-14,
5-Apr-14,
12-Apr-14,
19-Apr-14,
26-Apr-14,
3-May-14,
10-May-14,
17-May-14,
24-May-14,
31-May-14,
7-Jun-14,
14-Jun-14,
21-Jun-14,
28-Jun-14,
5-Jul-14,
12-Jul-14,
19-Jul-14,
26-Jul-14,
2-Aug-14,17
9-Aug-14,
16-Aug-14,
23-Aug-14,13
30-Aug-14,
6-Sep-14,
13-Sep-14,
20-Sep-14,
27-Sep-14,
4-Oct-14,11
11-Oct-14,4
18-Oct-14,8
25-Oct-14,10
1-Nov-14,12
8-Nov-14,9
15-Nov-14,5
22-Nov-14,6
29-Nov-14,4
6-Dec-14,4
13-Dec-14,4
20-Dec-14,4
27-Dec-14,3
3-Jan-15,2
10-Jan-15,2
17-Jan-15,1
24-Jan-15,1
31-Jan-15,1
7-Feb-15,1
14-Feb-15,1
21-Feb-15,1
28-Feb-15,1
7-Mar-15,1
14-Mar-15,1
21-Mar-15,1
28-Mar-15,1
4-Apr-15,1
11-Apr-15,1
18-Apr-15,3
25-Apr-15,2
2-May-15,2
9-May-15,2
16-May-15,2
23-May-15,2
30-May-15,1
6-Jun-15,3
13-Jun-15,3
20-Jun-15,5
27-Jun-15,3
4-Jul-15,6
11-Jul-15,9
18-Jul-15,5
25-Jul-15,6
1-Aug-15,5
8-Aug-15,14
15-Aug-15,14
22-Aug-15,12
