date,rank
29-Aug-10,1
5-Sep-10,1
12-Sep-10,1
19-Sep-10,1
26-Sep-10,1
3-Oct-10,1
10-Oct-10,1
17-Oct-10,1
24-Oct-10,1
31-Oct-10,1
7-Nov-10,2
14-Nov-10,2
21-Nov-10,2
28-Nov-10,2
5-Dec-10,2
12-Dec-10,3
19-Dec-10,2
26-Dec-10,2
2-Jan-11,1
9-Jan-11,2
16-Jan-11,2
23-Jan-11,1
30-Jan-11,2
5-Feb-11,1
12-Feb-11,1
19-Feb-11,3
26-Feb-11,2
5-Mar-11,2
12-Mar-11,2
19-Mar-11,2
26-Mar-11,2
2-Apr-11,2
9-Apr-11,3
16-Apr-11,2
23-Apr-11,2
30-Apr-11,1
7-May-11,1
14-May-11,1
21-May-11,1
28-May-11,1
4-Jun-11,1
11-Jun-11,1
18-Jun-11,1
25-Jun-11,1
2-Jul-11,1
9-Jul-11,1
16-Jul-11,1
23-Jul-11,1
30-Jul-11,1
6-Aug-11,1
13-Aug-11,1
20-Aug-11,1
27-Aug-11,1
3-Sep-11,1
10-Sep-11,1
17-Sep-11,1
24-Sep-11,1
1-Oct-11,1
8-Oct-11,1
15-Oct-11,1
22-Oct-11,1
29-Oct-11,1
5-Nov-11,1
12-Nov-11,2
19-Nov-11,3
26-Nov-11,2
3-Dec-11,2
10-Dec-11,2
17-Dec-11,1
24-Dec-11,1
31-Dec-11,1
7-Jan-12,1
14-Jan-12,1
21-Jan-12,1
28-Jan-12,1
4-Feb-12,1
11-Feb-12,1
18-Feb-12,1
25-Feb-12,1
3-Mar-12,1
10-Mar-12,1
17-Mar-12,1
24-Mar-12,1
31-Mar-12,1
7-Apr-12,1
14-Apr-12,1
21-Apr-12,1
28-Apr-12,1
5-May-12,1
12-May-12,1
19-May-12,1
26-May-12,1
2-Jun-12,1
9-Jun-12,1
16-Jun-12,1
23-Jun-12,1
30-Jun-12,1
7-Jul-12,1
14-Jul-12,1
21-Jul-12,1
28-Jul-12,1
4-Aug-12,1
11-Aug-12,1
18-Aug-12,1
25-Aug-12,1
1-Sep-12,1
8-Sep-12,1
15-Sep-12,1
22-Sep-12,1
29-Sep-12,1
6-Oct-12,2
13-Oct-12,2
20-Oct-12,2
27-Oct-12,2
3-Nov-12,2
10-Nov-12,1
17-Nov-12,4
24-Nov-12,2
1-Dec-12,2
8-Dec-12,2
15-Dec-12,2
22-Dec-12,2
29-Dec-12,2
5-Jan-13,1
12-Jan-13,1
19-Jan-13,1
26-Jan-13,1
2-Feb-13,1
9-Feb-13,2
16-Feb-13,3
23-Feb-13,2
2-Mar-13,2
9-Mar-13,1
16-Mar-13,1
23-Mar-13,2
30-Mar-13,3
6-Apr-13,1
13-Apr-13,1
20-Apr-13,1
27-Apr-13,1
4-May-13,1
11-May-13,1
18-May-13,1
25-May-13,1
1-Jun-13,1
8-Jun-13,2
15-Jun-13,1
22-Jun-13,1
29-Jun-13,2
6-Jul-13,2
13-Jul-13,2
20-Jul-13,2
27-Jul-13,2
3-Aug-13,2
10-Aug-13,3
17-Aug-13,3
24-Aug-13,3
31-Aug-13,3
7-Sep-13,2
14-Sep-13,2
21-Sep-13,3
28-Sep-13,2
5-Oct-13,2
12-Oct-13,3
19-Oct-13,3
26-Oct-13,4
2-Nov-13,3
9-Nov-13,4
16-Nov-13,3
23-Nov-13,3
30-Nov-13,2
7-Dec-13,3
14-Dec-13,3
21-Dec-13,3
28-Dec-13,3
4-Jan-14,2
11-Jan-14,2
18-Jan-14,2
25-Jan-14,2
1-Feb-14,2
8-Feb-14,4
15-Feb-14,4
22-Feb-14,5
1-Mar-14,2
8-Mar-14,2
15-Mar-14,2
22-Mar-14,3
29-Mar-14,3
5-Apr-14,3
12-Apr-14,3
19-Apr-14,4
26-Apr-14,5
3-May-14,4
10-May-14,6
17-May-14,5
24-May-14,6
31-May-14,7
7-Jun-14,10
14-Jun-14,8
21-Jun-14,9
28-Jun-14,9
5-Jul-14,
12-Jul-14,
19-Jul-14,9
26-Jul-14,10
2-Aug-14,5
9-Aug-14,9
16-Aug-14,9
23-Aug-14,9
30-Aug-14,
6-Sep-14,
13-Sep-14,
20-Sep-14,10
27-Sep-14,
4-Oct-14,
11-Oct-14,8
18-Oct-14,
25-Oct-14,
1-Nov-14,10
8-Nov-14,8
15-Nov-14,8
22-Nov-14,6
29-Nov-14,5
6-Dec-14,6
13-Dec-14,6
20-Dec-14,6
27-Dec-14,6
3-Jan-15,6
10-Jan-15,5
17-Jan-15,7
24-Jan-15,
31-Jan-15,
7-Feb-15,
14-Feb-15,
21-Feb-15,
28-Feb-15,
7-Mar-15,
14-Mar-15,7
21-Mar-15,8
28-Mar-15,9
4-Apr-15,
11-Apr-15,
18-Apr-15,
25-Apr-15,
2-May-15,
9-May-15,
16-May-15,
23-May-15,
30-May-15,
6-Jun-15,
13-Jun-15,
20-Jun-15,
27-Jun-15,
4-Jul-15,
11-Jul-15,
18-Jul-15,
25-Jul-15,
1-Aug-15,
8-Aug-15,
15-Aug-15,
22-Aug-15,
29-Aug-15,
5-Sep-15,
12-Sep-15,
19-Sep-15,
26-Sep-15,
3-Oct-15,
10-Oct-15,
17-Oct-15,
24-Oct-15,
31-Oct-15,
7-Nov-15,
14-Nov-15,
21-Nov-15,
28-Nov-15,9
5-Dec-15,9
