date,rank
29-Aug-10,1
5-Sep-10,1
12-Sep-10,1
19-Sep-10,1
26-Sep-10,1
3-Oct-10,1
10-Oct-10,1
17-Oct-10,1
24-Oct-10,1
31-Oct-10,1
7-Nov-10,2
14-Nov-10,2
21-Nov-10,2
28-Nov-10,2
5-Dec-10,2
12-Dec-10,3
19-Dec-10,2
26-Dec-10,2
2-Jan-11,1
9-Jan-11,2
16-Jan-11,2
23-Jan-11,1
30-Jan-11,2
5-Feb-11,1
12-Feb-11,1
19-Feb-11,3
26-Feb-11,2
5-Mar-11,2
12-Mar-11,2
19-Mar-11,2
26-Mar-11,2
2-Apr-11,2
9-Apr-11,3
16-Apr-11,2
23-Apr-11,2
30-Apr-11,1
7-May-11,1
14-May-11,1
21-May-11,1
28-May-11,1
4-Jun-11,1
11-Jun-11,1
18-Jun-11,1
25-Jun-11,1
2-Jul-11,1
9-Jul-11,1
16-Jul-11,1
23-Jul-11,1
30-Jul-11,1
6-Aug-11,1
13-Aug-11,1
20-Aug-11,1
27-Aug-11,1
3-Sep-11,1
10-Sep-11,1
17-Sep-11,1
24-Sep-11,1
1-Oct-11,1
8-Oct-11,1
15-Oct-11,1
22-Oct-11,1
29-Oct-11,1
5-Nov-11,1
12-Nov-11,2
19-Nov-11,3
26-Nov-11,2
3-Dec-11,2
10-Dec-11,2
17-Dec-11,1
24-Dec-11,1
31-Dec-11,1
7-Jan-12,1
14-Jan-12,1
21-Jan-12,1
28-Jan-12,1
4-Feb-12,1
11-Feb-12,1
18-Feb-12,1
25-Feb-12,1
3-Mar-12,1
10-Mar-12,1
17-Mar-12,1
24-Mar-12,1
31-Mar-12,1
7-Apr-12,1
14-Apr-12,1
21-Apr-12,1
28-Apr-12,1
5-May-12,1
12-May-12,1
19-May-12,1
26-May-12,1
2-Jun-12,1
9-Jun-12,1
16-Jun-12,1
23-Jun-12,1
30-Jun-12,1
7-Jul-12,1
14-Jul-12,1
21-Jul-12,1
28-Jul-12,1
4-Aug-12,1
11-Aug-12,1
18-Aug-12,1
25-Aug-12,1
1-Sep-12,1
8-Sep-12,1
15-Sep-12,1
22-Sep-12,1
29-Sep-12,1
6-Oct-12,2
13-Oct-12,2
20-Oct-12,2
27-Oct-12,2
3-Nov-12,2
10-Nov-12,1
17-Nov-12,4
24-Nov-12,2
1-Dec-12,2
8-Dec-12,2
15-Dec-12,2
22-Dec-12,2
29-Dec-12,2
5-Jan-13,1
12-Jan-13,1
19-Jan-13,1
26-Jan-13,1
2-Feb-13,1
9-Feb-13,2
16-Feb-13,3
23-Feb-13,2
2-Mar-13,2
9-Mar-13,1
16-Mar-13,1
23-Mar-13,2
30-Mar-13,3
6-Apr-13,1
13-Apr-13,1
