,0,1,2,3,4,5,6,7,8
5,1,Star Wars: The Last Jedi,BV,"$620,181,382",4232,"$220,009,584",4232,12/15,4/19
6,2,Beauty and the Beast (2017),BV,"$504,014,165",4210,"$174,750,616",4210,3/17,7/13
7,3,Wonder Woman,WB,"$412,563,408",4165,"$103,251,471",4165,6/2,11/9
8,4,Jumanji: Welcome to the Jungle,Sony,"$404,515,480",3849,"$36,169,328",3765,12/20,5/31
9,5,Guardians of the Galaxy Vol. 2,BV,"$389,813,101",4347,"$146,510,104",4347,5/5,9/21
10,6,Spider-Man: Homecoming,Sony,"$334,201,140",4348,"$117,027,503",4348,7/7,11/30
11,7,It,WB (NL),"$327,481,748",4148,"$123,403,419",4103,9/8,12/14
12,8,Thor: Ragnarok,BV,"$315,058,289",4080,"$122,744,989",4080,11/3,3/15
13,9,Despicable Me 3,Uni.,"$264,624,300",4535,"$72,434,025",4529,6/30,12/21
14,10,Justice League,WB,"$229,024,295",4051,"$93,842,239",4051,11/17,3/15
